sound,mfcc 1,mfcc 2,mfcc 3,mfcc 4,mfcc 5,mfcc 6,mfcc 7,mfcc 8,mfcc 9,mfcc 10,mfcc 11,mfcc 12,chroma_stft,spec_cent,spec_bw,rolloff,zcr
4,-2.7726,-1.4689,-2.8471,-1.3009,-2.0512,-2.1353,-1.0356,-3.4181,-2.205,-3.0461,-1.3619,-2.1828,0.37,3818.49,6081.04,7255.34,0.0345
4,-2.7726,-5.5933,-3.8961,-4.3644,-4.2946,-3.4882,-1.8739,-4.4681,-3.4923,-2.7036,-1.3062,-2.7648,0.3643,4169.88,6332.92,10606.4,0.0415
4,-2.7726,1.4436,-0.5439,-1.2098,-0.9498,-0.6177,0.1513,0.6374,-0.3681,-0.1566,0.1147,0.8733,0.3471,4704.45,6625.33,15380.1,0.055
0,-2.7726,-5.9879,-0.8973,-2.5791,-1.0673,-2.7642,-1.0088,-4.3827,-1.3577,-5.2078,-3.4657,-5.1217,0.2881,11141.3,8486.23,19988.2,0.507
3,-2.7726,-0.1067,4.4228,1.6148,2.6954,5.0546,4.9557,6.1896,6.0455,6.2785,5.1264,4.7257,0.422,7724.98,8467.44,19569.6,0.1601
5,-5.1385,-4.7611,-2.2591,-1.452,-0.9973,-2.1077,-2.9244,-2.1109,-1.1771,-0.6753,-1.3635,-1.9865,0.3677,7545.14,6822.61,18019.3,0.2393
5,-5.9826,-4.988,-5.1927,-3.9269,-3.7025,-2.956,-3.4865,-2.7295,-2.3819,-1.8434,-1.4985,-1.3098,0.3107,5616.82,7554.41,17601.6,0.1147
5,-2.7726,0.0636,0.5826,0.2892,0.8086,0.1746,0.1156,-1.7903,-1.6631,-2.5443,-2.2228,-2.4975,0.3102,6529.27,7764.53,19437.8,0.2175
0,-2.7726,1.0347,3.353,3.6076,2.3477,1.1272,0.9777,0.4943,-1.7488,-1.0265,0.7663,0.832,0.4074,8781.73,8295.22,20054.1,0.2773
2,-0.151,0.0519,-1.5858,0.6473,-2.3669,-2.6862,-3.1342,-0.6474,1.0003,-1.5219,-5.7699,-6.4177,0.4048,6529.56,7191.21,15622.3,0.1933
2,-5.7734,-9.1697,-9.9088,-17.0814,-9.1583,-8.4103,-10.6264,-9.0794,-6.1455,-5.6486,-7.8493,-9.5503,0.2038,4276.74,6373.02,8657.69,0.0497
2,-2.7726,-2.0662,-1.6702,-4.923,-7.2781,-6.178,-6.6182,-8.6974,-9.835,-5.2206,-2.0119,0.0028,0.2959,5730.69,6972.07,14342.5,0.1418
0,-2.7726,-0.9097,-8.3313,-3.7906,-8.7488,-7.4926,-9.2851,-7.8702,-4.3824,-7.1312,-6.3938,-6.2777,0.2995,8036.63,8485.78,19518.1,0.1089
1,-6.758,-5.4468,0.6429,-6.9913,-9.239,-8.7367,-8.2149,-7.091,-7.5346,-8.0846,-7.3249,-5.3758,0.3507,4235.34,6867.21,12496.0,0.0885
1,-4.0053,-2.7427,-5.1937,-10.873,-18.1762,-10.7669,-11.7694,-7.5033,-4.8734,-11.5007,-7.3955,-3.7293,0.2168,4624.43,7046.86,15892.8,0.0695
1,-2.7726,-0.0692,-2.2879,-2.2412,-8.4283,-13.0411,-7.8413,-11.203,-9.1381,-4.4386,-4.7806,-5.9624,0.2717,4591.84,6859.33,15845.7,0.0704
6,-2.7726,-0.4682,-3.0179,-5.062,-10.5794,-11.2678,-5.1141,-2.1812,-1.3749,-2.5069,-6.4885,-6.35,0.3278,5466.44,7489.12,18413.6,0.0558
4,-3.4249,-6.2539,-8.821,-9.8207,-16.9298,-15.766,-15.4665,-14.3307,-12.6852,-11.2713,-12.1034,-10.6935,0.2127,4769.61,7010.89,16581.9,0.0498
4,-8.9721,-10.8451,-9.2903,-9.9998,-12.7831,-13.0569,-14.6891,-11.8202,-13.7389,-13.4006,-11.8889,-7.3745,0.2237,4364.49,6787.29,13754.3,0.0707
4,-2.6868,-3.6205,-7.2423,-9.9443,-12.3724,-12.8044,-9.3036,-10.0336,-8.9264,-8.0707,-9.2392,-11.5776,0.2141,3977.23,6534.02,8362.96,0.0314
4,-2.7726,1.5433,-2.3417,-6.1566,-9.2835,-10.2444,-13.0217,-10.7668,-15.3332,-14.0427,-17.9648,-17.0024,0.2892,3723.67,6037.82,9843.37,0.0513
4,-2.7726,-0.5721,-1.971,-5.553,-7.2528,-11.3415,-9.222,-7.3625,-9.563,-8.4195,-9.4548,-13.7637,0.2838,3745.37,6069.41,6385.94,0.0655
4,-3.6874,-5.2149,-9.4448,-7.9323,-6.7545,-7.6927,-8.9876,-10.5025,-15.5532,-11.8113,-9.9497,-9.3772,0.2663,4495.21,6734.77,12003.4,0.0574
0,-6.7461,-1.5982,-5.5943,-4.7928,-1.4503,-3.1252,-3.5384,-3.6905,-5.4887,-6.8268,-9.7478,-6.3462,0.3819,9334.69,9057.41,21267.6,0.3979
0,-2.5088,-4.7785,-7.67,-5.7645,-7.8268,-5.4944,-6.6915,-7.4075,-6.9354,-8.1974,-8.6086,-7.7985,0.5121,7975.55,8500.01,20795.7,0.3745
0,-5.0937,-4.4727,-4.773,-5.8426,-8.0562,-4.0997,-4.0025,-4.4662,-2.6626,-6.2862,-5.1856,-9.7418,0.5025,7381.66,8332.52,20841.4,0.4242
0,-2.7726,0.3262,-5.497,-3.2268,-6.6716,-6.4174,-2.8403,-6.8944,-1.6889,-0.4843,-0.3165,-0.6694,0.45,9688.25,8708.09,20120.1,0.4471
8,-2.3546,-3.6451,-3.6278,-1.1297,-1.2279,-0.1049,-1.6031,-2.8895,-4.7007,-3.9199,-2.7429,-4.1331,0.3514,8990.57,7588.37,19509.1,0.2863
5,1.0709,-0.1929,1.883,0.7576,-0.1159,3.4565,-0.7299,-3.6445,-3.471,-5.9437,-3.9595,-4.0391,0.4071,6789.34,7140.13,17510.1,0.1726
5,-4.2952,-5.7046,-5.4153,-7.5907,-8.922,-9.9402,-5.6208,-4.9676,-5.6213,-5.3339,-5.3323,-8.0914,0.3679,5904.9,7659.07,18062.3,0.1811
5,-2.7726,-0.5707,-9.5192,-8.011,-11.506,-6.0603,-6.8397,-3.6425,-1.2884,-3.4278,-2.8587,-3.5029,0.2742,4110.83,6196.88,10481.3,0.0601
0,-2.7726,-3.1163,-1.0669,0.3938,-1.3101,-2.0864,-2.0545,-4.3577,-8.7944,-2.4137,-3.8354,-6.8773,0.4212,9841.72,8490.49,20099.9,0.3402
4,-3.6534,-6.0906,-4.5769,-7.5775,-7.7356,-2.8835,-6.2784,-5.6012,-8.1185,-6.2977,-6.8249,-5.2998,0.2443,4792.8,6897.45,14782.5,0.0636
4,-8.3998,-8.3624,-3.0794,-5.5362,-5.4602,-7.9868,-5.1474,-4.9428,-4.1167,-9.8232,-5.9171,-2.5491,0.1765,4452.8,7035.61,15066.5,0.0454
8,-4.6854,-5.3849,-2.4924,-4.661,-4.5803,-2.1351,-3.5674,-4.5045,-1.7736,-4.107,-5.0935,-6.0741,0.3543,9758.12,8485.24,20068.9,0.4727
5,-3.8976,-6.224,-6.0196,-5.5105,-5.6578,-6.6044,-2.2667,-3.398,-7.1282,-5.2123,-4.1369,-7.974,0.251,5033.87,7222.1,16618.2,0.0878
5,-2.7726,-6.7082,-1.353,-3.2445,-8.0135,-4.5186,-8.1205,-6.4025,-8.348,-8.8865,-6.7299,-5.8666,0.2514,5124.34,6978.39,16407.0,0.0818
0,-2.7726,0.504,-4.1718,-3.0396,-2.5688,-1.768,-1.0852,-0.3967,-2.124,-1.315,-2.1864,-3.5518,0.45,9486.95,8765.05,20128.2,0.3583
4,-2.0767,-2.3152,0.6974,1.1274,1.3819,1.532,0.6756,0.1246,-0.0914,0.6656,-0.0812,-0.0929,0.4063,4277.25,6648.27,10654.9,0.0684
4,-2.666,-8.7943,-2.4749,-3.7243,-3.1098,-4.0037,-3.0271,-5.3232,-4.4044,-5.4669,-5.3317,-2.3463,0.3096,5533.19,7564.67,17775.7,0.1366
4,-2.7726,-1.3697,-3.8687,-0.2545,-1.3417,-0.8712,-0.476,-1.6609,-1.8352,-1.5918,-1.4434,-1.6103,0.4358,7028.38,8334.92,20303.1,0.2202
4,-2.7726,-0.1063,0.0096,1.0377,0.898,-0.0686,-0.6364,0.9563,0.246,1.2617,0.2968,2.1216,0.4165,5239.69,7420.74,18214.4,0.1209
4,-2.7726,1.8143,-0.2448,0.3716,1.3138,0.968,2.3094,1.6803,2.2282,2.3046,2.8165,0.8882,0.3612,4055.91,6456.37,14036.1,0.0822
4,-2.7726,2.6076,-3.5895,-1.7471,-1.0893,0.7001,0.7649,1.002,0.4239,1.1634,1.0501,1.7728,0.3314,4932.56,7349.61,18140.4,0.1631
4,-2.7726,3.479,-0.0478,1.8699,2.4809,2.2797,1.5894,1.159,2.1309,1.4131,1.9345,1.2249,0.3706,4577.92,7003.25,15993.8,0.1136
4,-2.7726,2.2266,-2.1632,-0.1998,-0.3351,0.5512,0.2771,-0.5201,-0.4028,-0.4744,-0.1038,0.0539,0.4334,4953.45,7321.01,17592.6,0.1042
4,-2.7726,-0.6502,-1.7137,2.6243,2.026,1.7407,1.4555,2.3026,1.7126,3.1262,3.4017,3.3811,0.3866,4726.79,7133.49,16520.0,0.1018
4,-2.7726,-0.4494,3.202,-2.0825,0.4896,0.8678,1.7316,1.8399,1.475,1.4526,0.9179,0.6112,0.4016,4619.98,6850.31,15660.0,0.0631
4,-2.7726,-0.4083,0.9581,-0.6503,0.2975,0.1725,0.2149,-0.1589,0.0362,0.5231,-0.0385,1.2372,0.4083,5309.38,7271.95,17991.0,0.1337
4,-2.7726,3.0818,2.8415,1.5714,2.0929,2.6574,1.5785,1.6564,2.2688,2.1076,2.3201,1.6809,0.4038,5913.06,7718.11,19299.1,0.1352
4,-2.7726,-1.7603,0.9677,5.3105,3.6941,5.2822,5.1749,6.2817,6.2731,7.3779,6.6227,6.7868,0.4183,6222.24,7893.08,20031.3,0.1746
4,-2.7726,2.664,2.7636,7.1721,5.5877,6.7874,7.2839,6.1939,5.6911,5.9023,4.8516,4.6689,0.4858,5302.0,7488.65,18459.3,0.1191
0,-2.7726,0.5165,-3.8982,-1.4335,-1.9891,-0.4643,-0.1809,-1.5625,-0.8745,-1.5611,-0.5776,-0.5405,0.4817,7529.75,8449.33,20191.4,0.306
0,-2.7726,-0.923,2.2492,2.5616,2.6028,3.0794,2.3595,3.0703,3.3527,4.0926,5.4359,4.8757,0.428,9896.87,8920.75,19997.2,0.3361
0,3.2879,4.057,5.0596,4.8302,4.7482,4.4975,4.1875,4.8088,3.2861,3.9081,4.6026,4.1354,0.51,8856.98,9190.99,21572.2,0.3954
0,1.6397,2.4764,1.9025,2.9447,2.4345,2.824,3.2145,4.0691,2.7664,2.3115,2.4332,2.1446,0.5289,7333.41,8458.9,21160.4,0.386
0,-2.7726,-2.7726,-3.2871,-2.2098,-4.1038,-4.5476,-5.5755,-6.3002,-5.7223,-3.9183,-3.5338,-3.032,0.3836,9320.0,8390.18,18879.2,0.3527
1,-2.7726,-2.7726,-0.2639,-3.1787,-2.3731,-2.1648,-1.0993,1.8925,3.0392,2.6172,3.116,3.4371,0.389,4043.91,5768.29,12692.0,0.1114
1,2.3518,4.3383,4.5387,4.0098,3.2619,3.1744,2.756,4.24,2.5045,3.6646,2.8382,2.1572,0.3578,4309.51,6638.48,10174.4,0.0703
1,-4.7448,-7.5592,-4.0616,-1.258,-0.4655,-0.1191,0.3426,0.2363,-0.2899,0.6728,-0.1623,0.4354,0.4053,4814.72,6813.06,15398.9,0.0982
0,-2.7726,-2.7726,4.0715,3.0423,4.8744,6.4464,6.3045,6.7289,5.0921,5.0178,6.3144,6.6928,0.3957,7768.03,8082.8,18692.2,0.1537
4,-2.043,0.156,-0.1594,-0.449,0.787,-1.3728,-0.5104,-3.0775,-4.6226,-1.4979,0.554,0.8454,0.4284,7719.74,8450.52,20455.2,0.2427
4,-0.7276,-2.9551,-2.9544,-1.2858,-0.9513,-1.0913,-2.0363,-1.7052,-1.292,0.965,-2.0228,-0.3816,0.4346,5510.92,8248.05,20068.9,0.1999
4,-2.7726,4.4616,1.531,0.699,0.9366,1.021,1.0151,0.96,1.2733,0.47,0.3208,0.1679,0.4199,5588.67,7672.79,19419.4,0.1578
4,-2.7726,-1.0519,-1.8216,-4.2308,1.1251,-0.4104,2.2161,0.8079,1.4999,1.9922,3.1985,3.4337,0.409,5451.9,7600.02,17806.6,0.1021
